"unsigned char audio_PipeWarp_noheader_wav[] = {",,,
0,"7f",127,1
0,80,128,2
0,81,129,3
0,80,128,4
0,80,128,5
0,80,128,6
0,80,128,7
0,80,128,8
0,80,128,9
0,80,128,10
0,80,128,11
0,"7f",127,12
0,80,128,13
0,80,128,14
0,80,128,15
0,80,128,16
0,80,128,17
0,80,128,18
0,80,128,19
0,80,128,20
0,80,128,21
0,81,129,22
0,80,128,23
0,80,128,24
0,81,129,25
0,80,128,26
0,81,129,27
0,80,128,28
0,80,128,29
0,80,128,30
0,80,128,31
0,80,128,32
0,81,129,33
0,80,128,34
0,81,129,35
0,"7f",127,36
0,80,128,37
0,"7f",127,38
0,"7f",127,39
0,80,128,40
0,80,128,41
0,"7f",127,42
0,"7f",127,43
0,80,128,44
0,80,128,45
0,"7f",127,46
0,81,129,47
0,80,128,48
0,80,128,49
0,80,128,50
0,80,128,51
0,80,128,52
0,"7f",127,53
0,81,129,54
0,80,128,55
0,81,129,56
0,"7f",127,57
0,81,129,58
0,"7f",127,59
0,81,129,60
0,80,128,61
0,81,129,62
0,"7f",127,63
0,80,128,64
0,"7f",127,65
0,76,118,66
0,71,113,67
0,73,115,68
0,86,134,69
0,90,144,70
0,"8a",138,71
0,78,120,72
0,72,114,73
0,73,115,74
0,83,131,75
0,91,145,76
0,"8c",140,77
0,"7c",124,78
0,"6f",111,79
0,76,118,80
0,87,135,81
0,91,145,82
0,"8a",138,83
0,78,120,84
0,72,114,85
0,74,116,86
0,83,131,87
0,90,144,88
0,"8b",139,89
0,"7b",123,90
0,"6f",111,91
0,75,117,92
0,88,136,93
0,"8f",143,94
0,"8c",140,95
0,"7f",127,96
0,"6f",111,97
0,75,117,98
0,82,130,99
0,90,144,100
0,"8b",139,101
0,"7b",123,102
0,"6f",111,103
0,75,117,104
0,88,136,105
0,"8f",143,106
0,"8c",140,107
0,"7e",126,108
0,70,112,109
0,75,117,110
0,84,132,111
0,92,146,112
0,"8b",139,113
0,"7a",122,114
0,"6f",111,115
0,76,118,116
0,89,137,117
0,"8e",142,118
0,"8c",140,119
0,"7d",125,120
0,"6f",111,121
0,75,117,122
0,85,133,123
0,90,144,124
0,"8a",138,125
0,78,120,126
0,71,113,127
0,73,115,128
0,81,129,129
0,91,145,130
0,"8c",140,131
0,"7c",124,132
0,"6f",111,133
0,76,118,134
0,85,133,135
0,91,145,136
0,"8b",139,137
0,77,119,138
0,71,113,139
0,73,115,140
0,82,130,141
0,91,145,142
0,"8c",140,143
0,"7c",124,144
0,70,112,145
0,75,117,146
0,86,134,147
0,"8f",143,148
0,"8e",142,149
0,80,128,150
0,70,112,151
